client,bank,true_context,source_context
82,A,gaussian_blur,gaussian_blur
82,B,gaussian_blur,gaussian_blur
83,A,clean,clean
83,B,clean,clean
83,A,brightness_dark,brightness_dark
83,B,brightness_dark,brightness_dark
83,A,contrast_low,contrast_low
83,B,contrast_low,contrast_low
83,A,gaussian_noise,gaussian_noise
83,B,gaussian_noise,gaussian_noise
83,A,gaussian_blur,gaussian_blur
83,B,gaussian_blur,gaussian_blur
84,A,clean,clean
84,B,clean,clean
84,A,brightness_dark,brightness_dark
84,B,brightness_dark,brightness_dark
84,A,contrast_low,contrast_low
84,B,contrast_low,contrast_low
84,A,gaussian_noise,gaussian_noise
84,B,gaussian_noise,gaussian_noise
84,A,gaussian_blur,gaussian_blur
84,B,gaussian_blur,gaussian_blur
85,A,clean,clean
85,B,clean,clean
85,A,brightness_dark,brightness_dark
85,B,brightness_dark,brightness_dark
85,A,contrast_low,contrast_low
85,B,contrast_low,contrast_low
85,A,gaussian_noise,gaussian_noise
85,B,gaussian_noise,gaussian_noise
85,A,gaussian_blur,gaussian_blur
85,B,gaussian_blur,gaussian_blur
86,A,clean,clean
86,B,clean,clean
86,A,brightness_dark,brightness_dark
86,B,brightness_dark,brightness_dark
86,A,contrast_low,contrast_low
86,B,contrast_low,contrast_low
86,A,gaussian_noise,gaussian_noise
86,B,gaussian_noise,gaussian_noise
86,A,gaussian_blur,gaussian_blur
86,B,gaussian_blur,gaussian_blur
87,A,clean,clean
87,B,clean,clean
87,A,brightness_dark,brightness_dark
87,B,brightness_dark,brightness_dark
87,A,contrast_low,contrast_low
87,B,contrast_low,contrast_low
87,A,gaussian_noise,gaussian_noise
87,B,gaussian_noise,gaussian_noise
87,A,gaussian_blur,gaussian_blur
87,B,gaussian_blur,gaussian_blur
88,A,clean,clean
88,B,clean,clean
88,A,brightness_dark,brightness_dark
88,B,brightness_dark,brightness_dark
88,A,contrast_low,contrast_low
88,B,contrast_low,contrast_low
88,A,gaussian_noise,gaussian_noise
88,B,gaussian_noise,gaussian_noise
88,A,gaussian_blur,gaussian_blur
88,B,gaussian_blur,gaussian_blur
89,A,clean,clean
89,B,clean,clean
89,A,brightness_dark,brightness_dark
89,B,brightness_dark,brightness_dark
89,A,contrast_low,contrast_low
89,B,contrast_low,contrast_low
89,A,gaussian_noise,gaussian_noise
89,B,gaussian_noise,gaussian_noise
89,A,gaussian_blur,gaussian_blur
89,B,gaussian_blur,gaussian_blur
90,A,clean,clean
90,B,clean,clean
90,A,brightness_dark,brightness_dark
90,B,brightness_dark,brightness_dark
90,A,contrast_low,contrast_low
90,B,contrast_low,contrast_low
90,A,gaussian_noise,gaussian_noise
90,B,gaussian_noise,gaussian_noise
90,A,gaussian_blur,gaussian_blur
90,B,gaussian_blur,gaussian_blur
91,A,clean,clean
91,B,clean,clean
91,A,brightness_dark,brightness_dark
91,B,brightness_dark,brightness_dark
91,A,contrast_low,contrast_low
91,B,contrast_low,contrast_low
91,A,gaussian_noise,gaussian_noise
91,B,gaussian_noise,gaussian_noise
91,A,gaussian_blur,gaussian_blur
91,B,gaussian_blur,gaussian_blur
92,A,clean,clean
92,B,clean,clean
92,A,brightness_dark,brightness_dark
92,B,brightness_dark,brightness_dark
92,A,contrast_low,contrast_low
92,B,contrast_low,contrast_low
92,A,gaussian_noise,gaussian_noise
92,B,gaussian_noise,gaussian_noise
92,A,gaussian_blur,gaussian_blur
92,B,gaussian_blur,gaussian_blur
93,A,clean,clean
93,B,clean,clean
93,A,brightness_dark,brightness_dark
93,B,brightness_dark,brightness_dark
93,A,contrast_low,contrast_low
93,B,contrast_low,contrast_low
93,A,gaussian_noise,gaussian_noise
93,B,gaussian_noise,gaussian_noise
93,A,gaussian_blur,gaussian_blur
93,B,gaussian_blur,gaussian_blur
94,A,clean,clean
94,B,clean,clean
94,A,brightness_dark,brightness_dark
94,B,brightness_dark,brightness_dark
94,A,contrast_low,contrast_low
94,B,contrast_low,contrast_low
94,A,gaussian_noise,gaussian_noise
94,B,gaussian_noise,gaussian_noise
94,A,gaussian_blur,gaussian_blur
94,B,gaussian_blur,gaussian_blur
95,A,clean,clean
95,B,clean,clean
95,A,brightness_dark,brightness_dark
95,B,brightness_dark,brightness_dark
95,A,contrast_low,contrast_low
95,B,contrast_low,contrast_low
95,A,gaussian_noise,gaussian_noise
95,B,gaussian_noise,gaussian_noise
95,A,gaussian_blur,gaussian_blur
95,B,gaussian_blur,gaussian_blur
96,A,clean,clean
96,B,clean,clean
96,A,brightness_dark,brightness_dark
96,B,brightness_dark,brightness_dark
96,A,contrast_low,contrast_low
96,B,contrast_low,contrast_low
96,A,gaussian_noise,gaussian_noise
96,B,gaussian_noise,gaussian_noise
96,A,gaussian_blur,gaussian_blur
96,B,gaussian_blur,gaussian_blur
97,A,clean,clean
97,B,clean,clean
97,A,brightness_dark,brightness_dark
97,B,brightness_dark,brightness_dark
97,A,contrast_low,contrast_low
97,B,contrast_low,contrast_low
97,A,gaussian_noise,gaussian_noise
97,B,gaussian_noise,gaussian_noise
97,A,gaussian_blur,gaussian_blur
97,B,gaussian_blur,gaussian_blur
98,A,clean,clean
98,B,clean,clean
98,A,brightness_dark,brightness_dark
98,B,brightness_dark,brightness_dark
98,A,contrast_low,contrast_low
98,B,contrast_low,contrast_low
98,A,gaussian_noise,gaussian_noise
98,B,gaussian_noise,gaussian_noise
98,A,gaussian_blur,gaussian_blur
98,B,gaussian_blur,gaussian_blur
99,A,clean,clean
99,B,clean,clean
99,A,brightness_dark,brightness_dark
99,B,brightness_dark,brightness_dark
99,A,contrast_low,contrast_low
99,B,contrast_low,contrast_low
99,A,gaussian_noise,gaussian_noise
99,B,gaussian_noise,gaussian_noise
99,A,gaussian_blur,gaussian_blur
99,B,gaussian_blur,gaussian_blur
